Embedding	Accuracy	Class 1 Acc	Class 2 Acc	Class 3 Acc	Class 4 Acc	Class 6 Acc
0BCDEFG	0.8131978766245652	1902/2676	1865/2317	5071/5825	42/98	5/10
0BCDEG	0.808804686069925	1882/2676	1857/2317	5052/5825	41/98	5/10
0BCDF	0.8178656415888705	1908/2676	1868/2317	5107/5825	48/98	5/10
0BCDFG	0.8179571663920923	1908/2676	1865/2317	5110/5825	48/98	6/10
0BCDG	0.8137470254438953	1886/2676	1852/2317	5103/5825	46/98	4/10
0BCE	0.7552626761852462	1725/2676	1762/2317	4725/5825	38/98	2/10
0BCEF	0.7671609006040637	1765/2676	1783/2317	4787/5825	43/98	4/10
0BCEFG	0.7736591616328025	1777/2676	1776/2317	4850/5825	46/98	4/10
0BCEG	0.7622185612300933	1752/2676	1755/2317	4780/5825	37/98	4/10
0BCF	0.7505033864177192	1736/2676	1746/2317	4669/5825	46/98	3/10
0BCFG	0.76258466044298	1769/2676	1754/2317	4757/5825	48/98	4/10
0BCG	0.7418085301116603	1708/2676	1713/2317	4639/5825	43/98	2/10
0BD	0.8253706754530478	1911/2676	1892/2317	5165/5825	48/98	2/10
0BDE	0.8136555006406736	1880/2676	1865/2317	5098/5825	43/98	4/10
0BDEF	0.8150283726889987	1896/2676	1858/2317	5102/5825	44/98	5/10
0BDEFG	0.8178656415888705	1907/2676	1874/2317	5108/5825	42/98	5/10
0BDEG	0.8134724510342303	1887/2676	1859/2317	5097/5825	41/98	4/10
0BDF	0.8263774482884861	1935/2676	1881/2317	5159/5825	50/98	4/10
0BDFG	0.8239978034047227	1920/2676	1874/2317	5156/5825	48/98	5/10
0BDG	0.8219842577338459	1904/2676	1862/2317	5166/5825	46/98	3/10
0BE	0.7730184880102507	1775/2676	1787/2317	4844/5825	38/98	2/10
0BEF	0.7833607907742999	1798/2676	1804/2317	4910/5825	43/98	4/10
0BEFG	0.7893099029837086	1814/2676	1798/2317	4962/5825	46/98	4/10
0BEG	0.7753066080907927	1785/2676	1765/2317	4880/5825	37/98	4/10
0BF	0.7735676368295809	1778/2676	1779/2317	4847/5825	45/98	3/10
0BFG	0.7831777411678564	1807/2676	1781/2317	4918/5825	48/98	3/10
0BG	0.771828665568369	1781/2676	1738/2317	4873/5825	40/98	1/10
0C	0.7407102324730002	1697/2676	1751/2317	4602/5825	41/98	2/10
0CD	0.8102690829214717	1866/2676	1862/2317	5077/5825	46/98	2/10
0CDE	0.8034962474830679	1853/2676	1855/2317	5026/5825	41/98	4/10
0CDEF	0.808255537250595	1883/2676	1852/2317	5046/5825	45/98	5/10
0CDEFG	0.8130148270181219	1900/2676	1866/2317	5068/5825	43/98	6/10
0CDEG	0.8079809628409299	1879/2676	1854/2317	5048/5825	42/98	5/10
0CDF	0.8166758191469888	1906/2676	1864/2317	5100/5825	48/98	5/10
0CDFG	0.8164927695405455	1902/2676	1862/2317	5103/5825	48/98	6/10
0CDG	0.8118250045762402	1886/2676	1853/2317	5082/5825	45/98	4/10
0CE	0.752516932088596	1721/2676	1759/2317	4702/5825	38/98	2/10
0CEF	0.7640490572945268	1751/2676	1780/2317	4770/5825	43/98	4/10
0CEFG	0.7711879919458173	1775/2676	1771/2317	4830/5825	46/98	4/10
0CEG	0.7587406187076697	1746/2676	1749/2317	4754/5825	37/98	4/10
0CF	0.7437305509793154	1724/2676	1733/2317	4622/5825	45/98	2/10
0CFG	0.7606626395753249	1763/2676	1754/2317	4743/5825	47/98	4/10
0CG	0.7348526450668131	1702/2676	1702/2317	4583/5825	41/98	1/10
0D	0.8222588321435109	1905/2676	1880/2317	5150/5825	47/98	2/10
0DE	0.8131063518213436	1877/2676	1864/2317	5097/5825	42/98	4/10
0DEF	0.8153944719018854	1899/2676	1859/2317	5101/5825	45/98	5/10
0DEFG	0.8169503935566539	1907/2676	1870/2317	5101/5825	42/98	6/10
0DEG	0.8124656781987919	1881/2676	1858/2317	5093/5825	41/98	4/10
0DF	0.8260113490755995	1926/2676	1879/2317	5164/5825	51/98	5/10
0DFG	0.8238147537982793	1918/2676	1876/2317	5153/5825	48/98	6/10
0DG	0.8217096833241808	1909/2676	1863/2317	5157/5825	46/98	3/10
0E	0.7699981695039355	1768/2676	1784/2317	4821/5825	38/98	2/10
0EF	0.7804319970712063	1788/2676	1801/2317	4892/5825	42/98	4/10
0EFG	0.7853743364451766	1801/2676	1794/2317	4936/5825	46/98	4/10
0EG	0.7731100128134725	1778/2676	1763/2317	4865/5825	37/98	4/10
0F	0.7679846238330588	1774/2676	1771/2317	4803/5825	40/98	3/10
0FG	0.7789676002196595	1792/2676	1780/2317	4889/5825	47/98	3/10
0G	0.7667948013911771	1780/2676	1730/2317	4829/5825	38/98	1/10
12	0.7146256635548234	1721/2676	1727/2317	4311/5825	46/98	3/10
12B	0.7265238879736409	1729/2676	1737/2317	4421/5825	48/98	3/10
12BC	0.6838733296723412	1643/2676	1663/2317	4115/5825	48/98	3/10
12BCD	0.8061504667764964	1882/2676	1851/2317	5025/5825	47/98	3/10
12BCDE	0.8034047226798462	1869/2676	1851/2317	5008/5825	44/98	6/10
12BCDEF	0.8089877356763683	1901/2676	1847/2317	5040/5825	45/98	6/10
12BCDEFG	0.8095368844956984	1889/2676	1844/2317	5060/5825	47/98	5/10
12BCDEG	0.8049606443346147	1875/2676	1847/2317	5026/5825	42/98	5/10
12BCDF	0.8120080541826835	1908/2676	1869/2317	5043/5825	48/98	4/10
